UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_roll_mean,Air temperature [K]_roll_std,Process temperature [K]_roll_mean,Process temperature [K]_roll_std,Rotational speed [rpm]_roll_mean,Rotational speed [rpm]_roll_std,Torque [Nm]_roll_mean,Torque [Nm]_roll_std,Tool wear [min]_roll_mean,Tool wear [min]_roll_std,Air temperature [K]_lag_1,Air temperature [K]_lag_2,Air temperature [K]_lag_3,Process temperature [K]_lag_1,Process temperature [K]_lag_2,Process temperature [K]_lag_3,Rotational speed [rpm]_lag_1,Rotational speed [rpm]_lag_2,Rotational speed [rpm]_lag_3,Torque [Nm]_lag_1,Torque [Nm]_lag_2,Torque [Nm]_lag_3,Tool wear [min]_lag_1,Tool wear [min]_lag_2,Tool wear [min]_lag_3
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.1666666666667,0.0577350269189675,308.59999999999997,0.0999999999999801,1446.3333333333333,46.457866215887876,45.06666666666666,5.0639246966491624,5.0,1.9999999999999998,298.1,298.2,298.1,308.5,308.7,308.6,1498.0,1408.0,1551.0,49.4,46.3,42.8,5.0,3.0,0.0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.1666666666667,0.0577350269189675,308.59999999999997,0.0999999999999801,1446.3333333333333,46.457866215887876,42.96666666666667,5.577036249956897,7.0,1.9999999999999998,298.2,298.1,298.2,308.6,308.5,308.7,1433.0,1498.0,1408.0,39.5,49.4,46.3,7.0,5.0,3.0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.1666666666667,0.0577350269189675,308.6333333333333,0.05773502691894699,1422.0,12.767145334803704,40.46666666666666,1.2662279942148096,9.0,1.9999999999999998,298.2,298.2,298.1,308.7,308.6,308.5,1408.0,1433.0,1498.0,40.0,39.5,49.4,9.0,7.0,5.0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.1333333333334,0.05773502691894699,308.6333333333333,0.05773502691894699,1463.6666666666667,82.1360659718575,41.43333333333334,1.2662279942148176,11.333333333333334,2.5166114784235827,298.1,298.2,298.2,308.6,308.7,308.6,1425.0,1408.0,1433.0,41.9,40.0,39.5,11.0,9.0,7.0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.1,0.0,308.6,0.0,1503.3333333333333,69.58687615731378,41.5,1.153256259467057,13.666666666666666,2.5166114784235827,298.1,298.1,298.2,308.6,308.6,308.7,1558.0,1425.0,1408.0,42.4,41.9,40.0,14.0,11.0,9.0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.1666666666667,0.11547005383791858,308.6333333333334,0.05773502691895109,1584.0,73.53230582539894,37.06666666666667,7.414400402819718,16.0,1.9999999999999998,298.1,298.1,298.1,308.6,308.6,308.6,1527.0,1558.0,1425.0,40.2,42.4,41.9,16.0,14.0,11.0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.3,0.19999999999997917,308.76666666666665,0.20816659994662648,1645.0,108.68302535354817,32.26666666666667,6.87701485626817,18.333333333333332,2.5166114784235836,298.3,298.1,298.1,308.7,308.6,308.6,1667.0,1527.0,1558.0,28.6,40.2,42.4,18.0,16.0,14.0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.4,0.0999999999999896,308.8666666666666,0.15275252316524646,1730.0,58.28378848359118,26.833333333333332,2.5579940057265502,21.0,3.0000000000000004,298.5,298.3,298.1,309.0,308.7,308.6,1741.0,1667.0,1527.0,28.0,28.6,40.2,21.0,18.0,16.0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.5,0.10000000000007486,309.0,0.10000000000017906,1648.6666666666667,196.50530103112573,32.06666666666666,10.790891220531002,24.666666666666668,4.041451884327381,298.4,298.5,298.3,308.9,309.0,308.7,1782.0,1741.0,1667.0,23.9,28.0,28.6,24.0,21.0,18.0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.53333333333336,0.11547005383803348,309.0333333333333,0.1154700538381237,1514.6666666666667,235.29626714704455,39.766666666666666,14.155328796369705,29.0,5.0,298.6,298.4,298.5,309.1,308.9,309.0,1423.0,1782.0,1741.0,44.3,23.9,28.0,29.0,24.0,21.0
