UID,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp
1,M14860,M,-0.9523894433829583,-0.9473598877173399,0.14017979366855685,0.2840905706019339,-1.6959837443286894,0,0,0,0,0,0,2026-01-01 00:00:00
2,L47181,L,-0.9023934097553371,-0.8799590021118113,-0.8208994581403156,0.6371221583139501,-1.6488517007812828,0,0,0,0,0,0,2026-01-01 00:10:00
3,L47182,L,-0.9523894433829583,-1.014760773322907,-0.216024404554312,0.949807278858879,-1.6174303384163453,0,0,0,0,0,0,2026-01-01 00:20:00
4,L47183,L,-0.9023934097553371,-0.9473598877173399,-0.6528786099219813,-0.04876778352653825,-1.5860089760514078,0,0,0,0,0,0,2026-01-01 00:30:00
5,L47184,L,-0.9023934097553371,-0.8799590021118113,-0.8208994581403156,0.001665300432321206,-1.55458761368647,0,0,0,0,0,0,2026-01-01 00:40:00
6,M14865,M,-0.9523894433829583,-0.9473598877173399,-0.7066452813518483,0.193311019475987,-1.5231662513215325,0,0,0,0,0,0,2026-01-01 00:50:00
7,L47186,L,-0.9523894433829583,-0.9473598877173399,0.18722563116969046,0.24374410343484648,-1.4760342077741262,0,0,0,0,0,0,2026-01-01 01:00:00
8,L47187,L,-0.9523894433829583,-0.9473598877173399,-0.02112022062104414,0.021838534015865278,-1.4446128454091884,0,0,0,0,0,0,2026-01-01 01:10:00
9,M14868,M,-0.8523973761276875,-0.8799590021118113,0.9197965294016283,-1.1482090138296743,-1.413191483044251,0,0,0,0,0,0,2026-01-01 01:20:00
10,M14869,M,-0.7524053088724167,-0.6777563452951486,1.4171382401278978,-1.2087287145803058,-1.3660594394968446,0,0,0,0,0,0,2026-01-01 01:30:00
11,H29424,H,-0.8024013425000663,-0.7451572309007156,1.6926924312059661,-1.6222800030429536,-1.318927395949438,0,0,0,0,0,0,2026-01-01 01:40:00
12,H29425,H,-0.7024092752447672,-0.6103554596895817,-0.720086949209315,0.43538982247851227,-1.240373990037094,0,0,0,0,0,0,2026-01-01 01:50:00
13,M14872,M,-0.7024092752447672,-0.6103554596895817,-1.2846369992229185,1.1212797643190013,-1.1618205841247502,0,0,0,0,0,0,2026-01-01 02:00:00
14,M14873,M,-0.7024092752447672,-0.542954574084053,1.4238590740566313,-1.006996378744868,-1.1146885405773437,0,0,0,0,0,0,2026-01-01 02:10:00
15,L47194,L,-0.7024092752447672,-0.542954574084053,2.455507082117204,-2.0560045250891448,-1.0675564970299374,0,0,0,0,0,0,2026-01-01 02:20:00
16,L47195,L,-0.7024092752447672,-0.542954574084053,0.07969228830995648,0.84894111094116,-1.0361351346649996,0,0,0,0,0,0,2026-01-01 02:30:00
17,M14876,M,-0.7024092752447672,-0.542954574084053,-1.472820349227453,0.6673820086892662,-1.004713772300062,0,0,0,0,0,0,2026-01-01 02:40:00
18,M14877,M,-0.652413241617146,-0.542954574084053,-0.8074577902828489,0.5665158407715473,-0.9575817287526557,0,0,0,0,0,0,2026-01-01 02:50:00
19,H29432,H,-0.6024172079894964,-0.542954574084053,-1.5064245188711198,1.4642247352392455,-0.9104496852052493,0,0,0,0,0,0,2026-01-01 03:00:00
20,M14879,M,-0.5524211743618752,-0.47555368847848606,0.6845673418959601,-0.7548309589505707,-0.8318962792929053,0,0,0,0,0,0,2026-01-01 03:10:00
21,H29434,H,-0.5524211743618752,-0.47555368847848606,-1.042686977788517,0.27400395381016257,-0.7847642357454989,0,0,0,0,0,0,2026-01-01 03:20:00
22,L47201,L,-0.6024172079894964,-0.47555368847848606,-0.5386244331335139,0.48582290643737175,-0.7062108298331549,0,0,0,0,0,0,2026-01-01 03:30:00
23,M14882,M,-0.5524211743618752,-0.47555368847848606,0.3418048115305581,-0.9363900612024648,-0.6747894674682173,0,0,0,0,0,0,2026-01-01 03:40:00
24,L47203,L,-0.5024251407342256,-0.4081528028729574,1.5313924169163653,-1.4407209007910595,-0.6276574239208109,0,0,0,0,0,0,2026-01-01 03:50:00
25,M14884,M,-0.5024251407342256,-0.4081528028729574,0.20738813295589056,-0.27067335294552014,-0.5962360615558733,0,0,0,0,0,0,2026-01-01 04:00:00
26,L47205,L,-0.5024251407342256,-0.3407519172673904,2.2236383115759026,-1.6827997037935847,-0.5491040180084669,0,0,0,0,0,0,2026-01-01 04:10:00
27,L47206,L,-0.452429107106576,-0.3407519172673904,-0.12193272955204475,-0.09920086748539772,-0.5176826556435293,0,0,0,0,0,0,2026-01-01 04:20:00
